date,values
2010-11-01,563.197401760168
2010-12-01,577.979748541763
2011-01-01,588.374107508956
2011-02-01,597.066661316192
2011-03-01,606.459958424587
2011-04-01,612.232748476993
2011-05-01,615.678069707692
2011-06-01,620.666694637372
2011-07-01,623.503036570635
2011-08-01,622.602080897716
2011-09-01,618.080618168809
2011-10-01,606.418247513803
2011-11-01,592.169800390235
2011-12-01,583.160243661046
2012-01-01,577.913011084509
2012-02-01,573.758604370495
2012-03-01,570.671996972532
2012-04-01,573.016150158552
2012-05-01,582.084102162838
2012-06-01,588.349080962486
2012-07-01,594.931062684088
2012-08-01,608.361975956304
2012-09-01,627.548994916613
2012-10-01,710.186651360449
2012-11-01,790.580260804144
2012-12-01,807.706760771759
2013-01-01,824.89165601447
2013-02-01,844.045306246153
2013-03-01,864.7839710876
2013-04-01,886.273432323146
2013-05-01,904.384309785246
2013-06-01,921.277228652475
2013-07-01,935.40888522585
2013-08-01,950.441497472145
2013-09-01,974.9508286484
2013-10-01,939.404790478889
2013-11-01,897.577089145415
2013-12-01,912.30938283407
2014-01-01,927.083387433508
2014-02-01,958.291490881558
2014-03-01,1016.95371580716
2014-04-01,1101.76033961173
2014-05-01,1193.40755278475
2014-06-01,1266.67693866667
2014-07-01,1326.39027854401
2014-08-01,1381.35691677422
2014-09-01,1458.95589519543
2014-10-01,1552.27988698194
2014-11-01,1613.202843272
2014-12-01,1651.25987827067
2015-01-01,1692.18662393123
2015-02-01,1750.05634155195
2015-03-01,1841.69521254282
2015-04-01,2053.77850951149
2015-05-01,2353.69664240759
2015-06-01,2666.83713402199
2015-07-01,2977.80865827566
2015-08-01,3306.97448181299
2015-09-01,3754.54089669975
2015-10-01,4310.16359706168
2015-11-01,4819.55392391141
2015-12-01,5123.77662280035
2016-01-01,5318.46646997239
2016-02-01,5590.79700647643
2016-03-01,5998.89655758004
