date,values
2010-05-01,604.441150342676
2010-06-01,462.490578765015
2010-07-01,529.76193567629
2010-08-01,850.502155235405
2010-09-01,1220.49461824742
2010-10-01,1533.62676767966
2010-11-01,1668.16948150221
2010-12-01,1526.01869755279
2011-01-01,1188.06021402234
2011-02-01,974.433613354688
2011-03-01,935.392200861537
2011-04-01,620.057715339936
2011-05-01,709.752857888303
2011-06-01,691.333319686406
2011-07-01,700.743301159114
2011-08-01,825.675821137196
2011-09-01,1053.91792494331
2011-10-01,1375.45899398946
2011-11-01,1554.84927908619
2011-12-01,1519.81211402824
2012-01-01,1260.93751734289
2012-02-01,1328.60929899768
2012-03-01,1145.01455409399
2012-04-01,1144.01349223519
2012-05-01,1147.61731492687
2012-06-01,1025.0873434099
2012-07-01,1048.31197853403
2012-08-01,1046.30985481644
2012-09-01,1640.54017419937
2012-10-01,2414.16077867903
2012-11-01,2630.79056492307
2012-12-01,2770.73901278314
2013-01-01,2738.70503330158
2013-02-01,2603.76189473551
2013-03-01,3038.82337856944
2013-04-01,3182.17543674942
2013-05-01,2653.21435056017
2013-06-01,2078.00420649441
2013-07-01,1465.75477365311
2013-08-01,2261.19852665458
2013-09-01,3527.9422027785
2013-10-01,3882.11788842149
2013-11-01,4242.7003699608
2013-12-01,3821.05311503477
2014-01-01,3507.72075323076
2014-02-01,3483.09463150432
2014-03-01,4319.18149597302
2014-04-01,3911.74931944193
2014-05-01,3672.89595993256
2014-06-01,2688.25151561812
2014-07-01,2434.38222822676
2014-08-01,3888.12425957428
2014-09-01,4999.10271046912
2014-10-01,5997.76202080674
2014-11-01,5724.47213335468
2014-12-01,5561.29905037049
2015-01-01,5120.83183249905
2015-02-01,4948.24876804214
2015-03-01,7146.3803975924
2015-04-01,6753.36351182802
2015-05-01,8165.66158222128
2015-06-01,6211.18840910263
2015-07-01,5200.1159317159
2015-08-01,7666.73235179599
2015-09-01,11492.9909884965
2015-10-01,14507.1882453395
2015-11-01,14889.3936630289
2015-12-01,15386.9214068518
2016-01-01,15134.6538184345
2016-02-01,16478.8796824295
2016-03-01,23473.0986774845
2016-04-01,25269.8045016565
2016-05-01,18803.1451061884
2016-06-01,14910.2157496919
2016-07-01,13121.1179956468
2016-08-01,22157.9036073947
2016-09-01,15834.3960577349
