date,values
2010-05-01,325.144891737829
2010-06-01,252.668013160801
2010-07-01,315.534697893361
2010-08-01,413.038122940358
2010-09-01,501.531991258166
2010-10-01,737.982802306427
2010-11-01,741.586624998102
2010-12-01,752.398093073129
2011-01-01,678.119303150263
2011-02-01,617.855379250579
2011-03-01,632.47088238904
2011-04-01,687.92970936649
2011-05-01,529.361510932771
2011-06-01,403.22771672413
2011-07-01,414.439609542676
2011-08-01,522.754502664699
2011-09-01,617.2547421353
2011-10-01,760.807012687038
2011-11-01,801.450124154267
2011-12-01,812.261592229293
2012-01-01,686.328010392412
2012-02-01,588.023735858377
2012-03-01,553.78742028746
2012-04-01,486.716275747945
2012-05-01,388.612213585669
2012-06-01,327.747652570706
2012-07-01,363.98609185922
2012-08-01,473.502259211801
2012-09-01,592.428408037091
2012-10-01,841.893023249736
2012-11-01,937.994961694414
2012-12-01,826.076245880716
2013-01-01,830.48091805943
2013-02-01,766.212746724551
2013-03-01,836.086864468703
2013-04-01,2187.72058621875
2013-05-01,617.05452976354
2013-06-01,510.341335615595
2013-07-01,593.829894639409
2013-08-01,703.346061991991
2013-09-01,860.312561451632
2013-10-01,1089.7559394883
2013-11-01,1124.79310454626
2013-12-01,1044.70815584236
2014-01-01,951.008765858798
2014-02-01,1006.46759283625
2014-03-01,1184.05596658714
2014-04-01,986.646568032033
2014-05-01,814.26371594689
2014-06-01,666.707197959957
2014-07-01,792.040142681559
2014-08-01,1254.13029670305
2014-09-01,1717.42172495511
2014-10-01,2268.00574729441
2014-11-01,2146.07641289273
2014-12-01,1781.89010866175
2015-01-01,1646.94697009568
2015-02-01,1629.72870612434
2015-03-01,2423.17033540822
2015-04-01,1987.30800208725
2015-05-01,1275.75323285311
2015-06-01,1118.58652102171
2015-07-01,1322.40271547313
2015-08-01,2112.64094680885
2015-09-01,3058.24397863013
2015-10-01,6017.18262086743
2015-11-01,5594.93472882613
2015-12-01,5848.40359147397
2016-01-01,5043.75006937154
2016-02-01,6132.90537174457
2016-03-01,8661.58762707017
2016-04-01,9083.83551911148
2016-05-01,6404.59356022254
2016-06-01,3291.09096698672
2016-07-01,3822.45460163709
2016-08-01,6148.52193674183
2016-09-01,8816.75221518397
